Equipment Type,Equipment Name,Equipment Description
Aircrafts,CH-147F Chinook,"The CH-147F Chinook is an advanced, multi-mission helicopter used to transport equipment and personnel during domestic or deployed operations.
The Chinook supports the Canadian Army, special operations forces, other government departments, law enforcement agencies and civil authorities. It has enhanced self-protection capabilities, including anti-missile protection systems, radar as well as laser warning systems, ballistic protection and self-defence machine guns."
Aircrafts,CH-148 Cyclone,"The CH-148 Cyclone is one of the most capable maritime helicopters in the world. It is Canada’s main ship-borne maritime helicopter, and it provides air support to the Royal Canadian Navy.
The Cyclone can be used for surface and sub-surface surveillance, search and rescue missions, tactical transport and more. It can operate during the day or night and in most weather conditions to support missions in Canada and around the world."
Aircrafts,CH-149 Cormorant,"The CH-149 Cormorant is a long-range helicopter dedicated to search and rescue. It can operate in severe conditions, making it ideal for Canada’s challenging geography and climate.
The Cormorant can carry up to 12 stretchers or a load of 5,000 kilograms. Its advanced systems provide a stable hover for critical hoisting operations. It has helped rescue mountain climbers, lost hikers, shipcrews and more."
Aircrafts,CP-140 Aurora,"The CP-140 Aurora is a long-range patrol aircraft used for multiple types of missions over land and water.
The Aurora supports a wide variety of roles, including operations management, maritime and overland intelligence, surveillance and reconnaissance, anti-submarine and anti-surface warfare, strike coordination, and search and rescue. It can also assist other government agencies to combat, illegal fishing, pollution, drug trafficking, and more."
Aircrafts,CT-142 Dash-8,"Aircrew from the Royal Canadian Air Force and air forces around the world train on this turboprop aircraft.
Training on the CT-142 involves navigation, tactics and surveillance as well as search and rescue. It employs a suite of on-board training computers and a large radar system that is housed in its long nose, earning it the nickname “Gonzo.”"
Aircrafts,CT-156 Harvard II,"The CT-156 Harvard II is the aircraft of choice to help new pilots move seamlessly from basic flight training to high-performance jet training.
The Harvard’s performance, advanced cockpit layout and agile handling make it an ideal stepping stone toward advanced training phases. Its fully pressurized cockpit features an electronic flight instrument system and a global positioning system (GPS)."
Aircrafts,CT-155 Hawk,"The CT-155 Hawk is used to train pilots for front-line fighter aircraft. With its superior technology, this jet can perform a wide range of high-performance training missions.
The Hawk’s cockpit features a heads-up display, hands-on throttle and stick controls as well as integrated navigation and targeting systems."
Aircrafts,CT-114 Tutor,"The CT-114 Tutor is primarily flown by the Canadian Forces Snowbirds demonstration team at public events throughout North America. The Snowbirds showcase the high level of skill, professionalism, teamwork, discipline and dedication inherent in the Canadian Armed Forces.
The Tutor was the primary jet trainer for the Royal Canadian Air Force until 2000. The Tutors flown by the Snowbirds are slightly modified for show features and enhanced performance during low-level aerobatic flying."
Aircrafts,Grob-G120A,"The Grob-G120A is the primary flight aircraft used in the RCAF for pilot training.
This low-wing, aerobatic aircraft is the aircraft of choice in the first phase of flying for pilot candidates of the RCAF. The agility and precision of this aircraft provide a steep learning curve to all pilots in the RCAF to ensure they have the potential to operate in demanding operational environments."
Aircrafts,CC-130H Hercules,"The CC-130H Hercules is primarily used for search and rescue operations. It has a range of more than 7,200 kilometres and can transport approximately 80 passengers, operate on short unpaved runways and fly in severe weather conditions. This makes it an excellent aircraft for search and rescue operations over the vast span of Canada’s central and northern regions."
Aircrafts,C-90B King Air,The C-90B King Air is used to train pilots who have been chosen for the multi-engine stream
Vehicules,Bison Armoured Vehicle,"The Bison is a multi-purpose support vehicle for LAV III, with variants that can act as ambulances or electronic warfare vehicles."
Vehicules,BV 206 Tracked Carrier,"The BV 206 is the Army’s highly mobile, amphibious personnel carrier, capable of travelling in a variety of conditions."
Vehicules,Coyote Armoured Vehicle,"The Coyote is a durable, reconnaissance vehicle capable of withstanding intense amounts of gunfire."
Vehicules,G Wagon - Light Utility Vehicle Wheeled,"The G Wagon provided tactical transport in the fields of command and control, liaison, reconnaissance and military police."
Vehicules,Leopard 2 Family of Vehicles,"The Leopard, the Army’s heavily armoured main battle tank, is equipped with large amounts of firepower and mobility."
Vehicules,Light Armoured Vehicle (LAV) 6.0,The Light Armoured Vehicle (LAV) 6.0 is the Army’s primary infantry fighting vehicle.
Vehicules,Light Support Vehicle Wheeled (LSVW),The Light Armoured Vehicle (LAV) III Upgrade is replacing the LAV III as the Army’s primary infantry fighting vehicle.
Vehicules,Medium Support Vehicle System (MSVS),The Medium Support Vehicle System (MSVS) are medium-capacity logistics trucks used to transport personnel and equipment
Vehicules,Tactical Armoured Patrol Vehicle (TAPV),"The Tactical Armoured Patrol Vehicles (TAPV) is a wheeled combat vehicle that can fulfill a variety of roles on the battlefield, including reconnaissance, surveillance, security, command and control activities, and the armoured transport of personnel."
Vehicules,Heavy Logistics Vehicle Wheeled (HLVW),"The Heavy Logistics Vehicle Wheeled (HLVW) fleet is the Canadian Army’s heavyweight trucks used to transport combat supplies, troops, cargo, and spare parts."
Vehicules,Tracked Light Armoured Vehicle (TLAV),"The high-performance Tracked Light Armoured Vehicle (TLAV) provides a tracked command and control, ambulance, and maintenance and recovery support capability for the Canadian Army."
Vehicules,The Husky,The Husky is used to detect possible threats.
Vehicules,The Buffalo,The Buffalo uses its extendable arm to physically expose the potential target for verification.
Vehicules,The Cougar,The Cougar transports the Explosive Ordnance Disposal (EOD) operators and their equipment.
Fleet,Halifax class,"The 12 Canadian-built Halifax-class multi-role patrol frigates are considered the backbone of the Royal Canadian Navy (RCN). The ships were originally designed for anti-submarine warfare and anti-surface warfare, primarily in the open ocean environment."
Fleet,Harry DeWolf class,"Extremely capable and versatile, the Harry DeWolf-class Arctic and Offshore Patrol Ships enhance the RCN ability to assert Canadian sovereignty in Arctic and coastal waters, and support international operations when called upon."
Fleet,Kingston class,"Kingston-class Maritime Coastal Defence Vessels are multi-role minor war vessels which contribute to defend Canada’s interests at home and abroad, safeguarding territorial waters, protecting fishing stocks, supporting search and rescue and law enforcement operations."
Fleet,Future Canadian Surface Combatants,"The Future Canadian Surface Combatant provides the ideal foundation for the RCN’s future fleet, designed to serve Canada well into the latter half of the 21st century. With its effective warfare capability and versatility, modern workplace for tomorrow’s sailors, it will be able to deploy rapidly anywhere in the world, either independently or as part of a Canadian or international task group."
Fleet,Future Protecteur class,"The Future Protecteur-class Joint Support Ships constitute a vital and strategic national asset. The presence of replenishment ships increases the range and endurance of a Naval Task Group, permitting it to remain at sea for significant periods of time without returning to shore for replenishment. They will be able to provide core replenishment, limited sealift capabilities, and support to operations ashore."
Fleet,Victoria-class Submarines,"The Victoria-class submarine is a conventional diesel-electric that boasts stealth capabilities, increased manoeuverability, and extremely quiet electric propulsion systems."
Fleet,Orca class,Orca-class Patrol Craft Training Vessels are used to train the next generate of warfare officers and to participate in the community events.
Fleet,HMCS Oriole,The wooden tall ship serves as a training and community outreach platform
Fleet,Naval large tugs,"The Naval large tug project is set to replace the in service Glen-class vessels with four more powerful tug boats, scheduled for delivery in 2022 and 2023."
Weapons,FN Herstal M2HB-QCB .50-Cal. Heavy Machine Gun,"This flexible heavy machine gun is belt fed, and can fire armour piercing tracer ammunition from armoured vehicles or the ground."
Weapons,C22 Full Frame Modular Pistol,"The C22 9-mm pistol is a small, but effective sidearm that can be rapidly drawn and fired in close-quarter combat."
Weapons,C3 105-mm Howitzer,"The C3 Howitzer is a mobile, general purpose field artillery weapon that can fire at a range of up to 18 kilometres."
Weapons,C6 and C6A1 7.62-mm Medium Machine Gun,"The C6 and C6A1 7.62-mm medium machine guns are critical weapons in the small arms fleet, and are used in a full range of operations by the Canadian Armed Forces."
Weapons,C7A2 5.56-mm Automatic Rifle,"Capable of single or automatic fire, the C7A2 automatic rifle is the personal weapon used by the Canadian Armed Forces."
Weapons,C8A3 Carbine Rifle,"Similar to the C7A2, the lightweight C8A3 carbine rifle has an additional holographic sighting system for close combat."
Weapons,C9A2 Light Machine Gun,"The C9A2 light machine gun, capable of dual-fed automatic fire, is primarily used as an infantry support weapon."
Weapons,C15A2 Calibre Long Range Sniper Weapon,The C15A2 .50 Calibre Sniper Rifle is the designated long-range sniper weapon for the Canadian Armed Forces.
Weapons,C20 Semi-Automatic Sniper Weapon,"The C20 Semi-Automatic Sniper Weapon is a compact, ruggedized, sniper weapon capable of rapid follow-up shots on targets ranging in distance from zero to 800 metres."
Weapons,The M72 Light Anti-Tank Weapon,"The M72, is a short-range, single-shot, fire and throw away, weapon that can be used to defend against light armoured vehicles and structures."
Weapons,M777 Lightweight 155-mm Towed Howitzer,"The M777 is lighter and smaller, yet more powerful than any gun of its kind, with highly accurate fire due to a digital fire control system."
Weapons,81-mm Mortar,"The 81-mm mortar has the tactical advantage of a high trajectory, which allows it to engage targets from behind cover and provide indirect fire support."
